Title,Directions,Quantity,Ingredient,Unit01,Quantity02,Unit02,Quantity03,Unit03,Quantity04,Unit04,Quantity05,Unit05,Quantity06,Unit06,Quantity07,Unit07,Quantity08,Unit08,Quantity09,Unit09,Quantity10,Unit10,Quantity11,Unit11,Quantity12,Unit12,Quantity13,Unit13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Quantity16,Unit16,Quantity17,Unit17,Quantity18,Unit18,Quantity19,Unit19,Category
Oatmeal Cake,"Pour the water over the oatmeal.  Let stand for 20 minutes.  Add remaining cake ingredients.  Mix well and pour into a greased 9""x12"" pan.  Let stand while mixing topping.  To prepare topping:  Mix all ingredients together over low heat, until butter melts.  Spoon over unbaked cake.  Bake 45 minutes at 350 degrees.",1,"oatmeal,boiling water,brown sugar,white sugar,margarine,eggs,flour,salt,soda,nutmeg,cinnamon,chopped nuts,evaporated milk,coconut,valencia peanuts",cup,1 1/4,cups,1,cup,1,cup,02-Jan,cup,2,,1 1/3,cups,02-Jan,tsp,1,tsp,1,tsp,1,tsp,1,cup,02-Jan,cup,6,tbsp,butter,1,cup,1,tsp,,,,,,,Cakes
Orange Angel Food Cake,"Prepare angel food cake as directed on package, but pour 1/3 cup of the thawed orange juice into a 2 cup measure and add enough water for the mixture to equal the amount of water called for in package directions.  Continue to prepare cake as directed, baking the batter in an ungreased 10 inch tube pan.  Immediately invert the cake, leaving in pan.  Cool completely.  Loosen sides of cake from pan; remove cake.  To make the topping, in a medium bowl, gently stir together the thawed topping and yogurt.  Fold in remaining orange juice concentrate.  Spread topping mixture over top ad sides of cake.",1,"angel food cake mix,frozen orange juice concentrate, thawed,frozen light whipped topping, thawed,plain low fat yogurt",15-16 ounce pkg,04-Mar,cup,1,container,02-Jan,cup ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Orange-Poppy Seed Pound Cake,"Preheat oven to 325 degrees.  Grease and flour a 9x5x3 inch loaf pan; tap out excess flour.  In large bowl beat together softened butter, sugar, vanilla, and orange peel until pale and fluffy.  Beat in flour, then remaining ingredients, except the glaze (powdered sugar and 2 1/2 tsp. orange juice).  Mix until well blended.  Spread in prepared pan.  With handle of a wooden spoon, make 1/2 inch deep score down center length of batter.  Bake 50-60 minutes, until wooden pick inserted in center comes out clean.  Cool in pan on rack 30 minutes; invert onto rack; remove pan.  Cool completely.  To prepare glaze seal powdered sugar and orange juice in small zipper-style bag.  Gently massage mixture with fingers until blended and smooth.  Snip off corner of bag.  Drizzle glaze over cake.  Let stand 1 hour or until glaze is set.",1,"unsalted butter, softened,sugar,vanilla,grated orange peel,unsifted cake flour,fresh orange juice,eggs,baking powder,baking soda,salt,poppy seeds,powdered sugar,fresh orange juice",cup,1,cup,2,tsp,2,tsp,2 1/4,cups,02-Jan,cup,4,large,04-Mar,tsp,04-Jan,tsp,04-Jan,tsp,2,tbsp,02-Jan,cup,2 1/2,tsp,,,,,,,,,,,,,,Cakes
Pineapple Cake,Spread pineapple in baking dish.  Sprinkle cake mix on this.  Dice butter on top. Sprinkle with almonds.  Bake at 350 degrees for 30 minutes.,1,"crushed pineapple,yellow cake mix,butter,sliced almonds", 2 pound can,1,pkg,1,cube,1,pkg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Pineapple-Carrot Cake*,"Mix all cake ingredients.  Bake in greased and floured 9""x13"" pan at 350 degrees for 35 minutes.  Frost when cool.",1,"oil,sugar,eggs,flour,soda,salt,cinnamon,vanilla,crushed pineapple, drained,grated carrots,chopped walnuts,cream cheese,margarine,vanilla,water",cup,2,cups,4,,2,cups,1,tsp,02-Jan,tsp,1,tsp,1,tsp,1,cup,2,cups,1,cup,3,ounces,04-Jan,pound,2,cups,powdered sugar,1,tsp,2,Tbsp,,,,,,,Cakes
Potatoe Cake,"Mix in order given.   Bake at 350 degrees for 25 minutes in two, 9"" pans.",2,"sugar,shortening,milk,mashed potatoes,eggs, beaten separately,flour,baking powder,cocoa,chopped walnuts,vanilla",cups,1,cup,02-Jan,cup,1,cup,4,,2,cups,2,tsp,2,tsp,1,cup,1,tsp,,,,,,,,,,,,,,,,,,,,Cakes
Pumpkin Swirl Cheesecake,"CRUST:  Combine crumbs and melted margarine, press into bottom and sides of 9 inch form pan.

FILLING:  Combine cheese, 1/2 cup sugar and vanilla.  Mix at medium speed until well blended.  Add eggs, one at a time.  Reserve 1 cup of this mixture, then add pumpkin, remaining sugar and spices to remaining cheese mixture.  Mix well.  Layer half of pumpkin mixture an half of cheese mixture over crust.  Repeat layers.  Cut through bater with knife several times to marble.  Bake at 350 degrees for 55 minutes.  Loosen from rim of pan.  Cool before removing.  Chill.",2,"vanilla wafer crumbs,melted margarine,lite cream cheese,sugar,vanilla,eggs,pumpkin,cinnamon,nutmeg",cups,04-Jan,cups,2,8 oz. pkgs.,04-Mar,cups,1,tsp,3,,1,cup,04-Mar,tsp,04-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,Cakes
Refrigerator Cheesecake,"Crush flakes, mix with butter and sugar.  Press 3/4 of mixture into spring for pan.  Chill.  Soften gelatin in water.  Beat egg yolks slightly; stir in salt, sugar and milk.  Cook over hot water or very low heat.  Stir constantly until it thickens.  Remove from heat.  Stir in softened gelatin.  Cool.  Beat cheese until creamy.  Combine with lemon rind and juice.  Add to gelatin mixture, mixing well.  Whip cream until stiff.  Beat egg whites until stiff but not dry.  Fold cheese mixture to whipped cream.  Spread in pan over crumb mixture.  Sprinkle remaining crumbs on top.  Chill until firm.",4,"cornflakes,butter,sugar,gelatin,cold water,eggs, separated,salt,milk,cottage cheese,grated lemon rind,lemon juice,heavy cream",cups,03-Jan,cup,04-Jan,cup,1 1/2,tbsp,02-Jan,cup,2,,02-Jan,tsp,02-Jan,cup,1,pound,1,tsp,04-Jan,cup,02-Jan,cup,,,,,,,,,,,,,,,,Cakes
Sherry Wine Cake,Beat for 5 minutes.  Bake for 45 minutes at 350 degrees in angel food pan that has been greased and floured.  Turn to 300 degrees after 20 minutes.,1,"yellow cake mix,instant vanilla pudding,eggs,oil,sherry cooking wine,nutmeg",pkg,1,pkg,4,,04-Mar,cup,04-Mar,cup,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Special Prune Cake*,"Blend sugar and oil.  Add beaten eggs.  Add dry ingredients with buttermilk.  Add vanilla, prunes, and nuts.  Pour into buttered pan about 12""x8"" in size.  Bake at 300 degrees for 45 minutes.  When cake is done and brown remove from oven and while still hot cover with icing.

Icing Directions:  Put all ingredients in medium saucepan and boil to soft ball stage.  This will take 15 or 20 minutes, so start this before cake is to come out of the oven so icing may be poured on to cake immediately.  Leave in pan, cut in squares to serve.",3,"eggs,oil,sugar,nutmeg, cinnamon, and allspice,flour,salt,soda,baking powder,buttermilk,vanilla,cooked prunes,chopped nuts,sugar,soda water,white corn syrup,butter,vanilla",,1,cup,1 1/2,cups,1,tsp. each,2,cups,04-Jan,tsp,1,tsp,02-Jan,tsp,1,cup,1,tsp,1,cup,02-Jan,cup,1,cup,02-Jan,cup,buttermilk,02-Jan,tsp,1,tbsp,04-Jan,cup,1,tsp,,,Cakes
Spicy Fruit and Nut Cake*,"Bake in greased and floured 9"" bundt pan at 350 degrees for 45-50 minutes.  Cool 15 minutes.  Loosen around edges with thin spatula.  Pierce with a wooden pick.  Glaze directions:  Cook glaze ingredients over medium heat until full boil and butter melts.  Ladle glaze over cake.",1,"chopped pitted prunes,walnuts,flour,baking soda,cinnamon,nutmeg,allspice,salt,flour,vegetable oil,buttermilk,eggs,sugar,soda,unsalted butter",cup,1,cup,2,cups,1,tsp,1 1/2,tsps,1 1/2,tsps,1,tsp,04-Jan,tsp,2,cups,1,cup,1,cup,3,,02-Jan,cup,02-Jan,cup,buttermilk,02-Jan,tsp,04-Jan,cup,,,,,,,Cakes
Strawberry Spice Loaf,"Bake in two 9"" loaf pans, greased and floured, at 350 degrees for one hour.",3,"berries,flour,sugar,salt,cinnamon,nutmeg,soda water,oil,eggs",cups,3,cups,2,cups,1,tsp,3,tsps,1,tsp,1,tsp,1 1/4,cups,4,,,,,,,,,,,,,,,,,,,,,,,Cakes
Three Layer Chocolate Mayonnaise Cake,"Grease three 9"" layer pans, one with waxed paper.  Sift dry ingredients into large bowl.  Stir in mayonnaise.  Stir in water and vanilla until smooth.  Pour into pans.  Bake at 350 degrees for 30 minutes.  Cool.  Frost with chocolate frosting.",4 1/2,"flour,sugar,cocoa,baking powder,baking soda,Best Foods Mayonnaise,water,vanilla",cups,2 1/4,cups,02-Jan,cups,3 1/2,tsps,2 1/4,tsps,2 1/4,cups,2 1/4,cups,2 1/4,tsps,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Two Layer Chocolate Mayonnaise Cake,"Grease two 9"" layer pans, line with waxed paper.  Sift dry ingredients into large bowl.  Stir in mayonnaise.  Stir in water and vanilla until smooth.  Pour into pans.  Bake at 350 degrees for 30 minutes.  Cool.  Frost with chocolate frosting.",3,"flour,sugar,cocoa,baking powder,baking soda,Best Foods Mayonnaise,water,vanilla",cups,1 1/2,cups,03-Jan,cup,2 1/4,tsps,1 1/2,tsps,1 1/2,cups,1 1/2,cups,1 1/2,tsps,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Upside Down Cake,"Melt butter in oven-proof skillet.  Add brown sugar.  Arrange fruit in pan.  To make cake batter, beat eggs about 5 minutes until thick and lemon colored.  Gradually add sugar.  Then add all at once fruit juice an vanilla.  Sift together and beat in flour, baking powder, and salt.  Pour batter over fruit an bake until done, about 45 minutes at 350 degrees.",03-Jan,"butter,brown sugar,eggs,sugar,fruit juice,vanilla,sifted flour,baking powder,salt",cup,02-Jan,cup,2,,03-Feb,cup,6,tbsp,1,tsp,1,cup,03-Jan,tsp,04-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,Cakes
Blue Chip Cookies,Mix at low speed.  Add chocolate chips and nuts by hand.  Press into balls in cookie scoop.  Bake at 300 degrees for 15 minutes on middle rack.,02-Jan,"cold butter,sugar,brown sugar,vanilla,egg,flour,baking soda,salt,chocolate chips,walnuts",cup,02-Jan,cup,02-Jan,cup,1,tsp,1,,1 1/2,cups,02-Jan,tsp,02-Jan,tsp,1,package,02-Jan,cups,,,,,,,,,,,,,,,,,,,,Cookies
Bourbon Balls,"Melt chocolate in double boiler over hot water.  Combine syrup and liquid.  Combine crumbs, sugar, and nuts.  Add chocolate mixture.  Let stand 30 minutes.  Shape in 1"" balls.  Roll in granulated or powdered sugar.  Let ripen i covered container at lest 3 days.",1,"semisweet chocolate chips,light corn syrup,bourbon (or light cream),crushed vanilla wafers,powdered sugar,finely chopped walnuts",cup,3,tbsp,02-Jan,cup,2 1/2,cups,02-Jan,cup,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Chocolate Crisp Bran Cookies,"Sift flour, soda, and salt.  Blend butter and sugar.  Add eggs and vanilla; beat well.  Add All-Bran cereal and chocolate chips.  Add dry ingredients, mix well.  Drop by spoonful onto cookie sheet.  Bake at 375 degrees about 12 minutes.",2,"flour,baking soda,salt,margarine,sugar,eggs,vanilla,All-Bran cereal,chocolate chips",cups,02-Jan,tsp,02-Jan,tsp,1,cup,1 1/2,cups,2,,1,tsp,1,cup,1,cup,,,,,,,,,,,,,,,,,,,,,,Cookies
Chocolate Peanut Brunch Bars,Blend first 5 ingredients until it resembles corn meal.  Add egg and vanilla.  Mix well.  Press firmly into ungreased jelly roll pan.  Bake at 350 degrees for 25 minutes.  Cool slightly.  Melt chocolate over hot water.  Stir in peanut butter and cereal.  Spread on cookie dough.  Let stand until chocolate sets.  Cut into 35 bars.,3,"flour,brown sugar,margarine,crunchy peanut butter,salt,egg yolk, beaten,vanilla,chocolate chips,crunchy peanut butter,Special K cereal",cups,1 1/4,cups,02-Jan,cup,03-Jan,cup,04-Jan,tsp,1,,1,tsp,1,cup,02-Jan,cup,1 1/2,cups,,,,,,,,,,,,,,,,,,,,Cookies
Chocolate Trio Squares*,"Cream butter, mis in four, and salt.  Spread in greased and floured 9"" pan.  Bake 15 minutes at 350 degrees.  Beat eggs and sugar until smooth. Stir in all other ingredients and blend well.  Spread over first layer.  Bake 350 degrees for 15 minutes.  Cool in pan.

Melt chocolate.  Blend in syrup and water,  Spread over cookies.  Sprinkle on nuts.  Leave in pan overnight.  Cut into 36 squares.",04-Jan,"margarine,sifted flour,salt,eggs, well beaten,light brown sugar,coconut,vanilla,salt,flour,semisweet chocolate chips,light corn syrup,water,chopped nuts",cup,1,cup,04-Jan,tsp,2,,04-Mar,cup,02-Jan,cup,1,tsp,04-Jan,tsp,2,tbsp,1,cup,04-Jan,cup,1,tbsp,,,,,,,,,,,,,,,,Cookies
Christmas Logs,"Preheat oven to 350 degrees.  Put walnuts and dates through coarse blade of grinder.  Combine with 1 1/2 cup coconut, sugar, and eggs.  Mix well.  Shape by spoonfuls into 3"" logs, 3/4"" wide.  Roll in rest of coconut, coating well.  Bake 10-12 minutes until golden.  Cool.  Makes 30 logs.",8,"crushed walnuts,pitted dates,flake coconut,brown sugar,eggs",ounces,1,cup,2 1/2,cups,1,cup,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Christmas Snowballs,"Combine first 5 ingredients.  Blend well.  Stir in flour, chocolate chips, and nuts.  Form 1"" balls.   Place on ungreased cookie sheet.  Bake 30 minutes at 350 degrees. Roll in powdered sugar while still warm. Makes approx. 5 dozen.",04-Mar,"butter,vanilla,water,salt,sugar,flour,chocolate chips,finely chopped walnuts,powdered sugar",cup,1,tsp,1,tbsp,08-Jan,tsp,03-Jan,cup,2,cups,6,oz.,1,cup,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Crisp Oatmeal Fruit Strips,"Beat butter and sugar together until fluffy; beat in egg.  Stir flour with soda, then stir into creamed mixture with raisins and rolled oats.  Mix well.  Divide dough into 15 equal portions.  Place 3 or 4 portions each on ungreased 12"" by 15"" baking sheet.  Pinch dough to shape 8"" ropes and place at least 2 inches apart.  Flatten each rope into a 2"" wide strip.  Bake in a 30 degree oven until golden brown, about 10 minutes.  Let cool on pan about 2 minutes, then cut each strip diagonally into 1 inch wide bars.  Let cookies cool on pan then transfer from pan with a wide spatula.  Store in an airtight container at room temperature up to 2 weeks.  Makes about 12 dozen.",1,"butter or margarine,sugar,egg,flour,soda,raisins (or finely diced prunes or dates),rolled oats",cup,1 1/2,cups,1,,2,cups,2,tsps,2,cups,1 1/4,cups,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Frosted Delights,"Sift flour, salt and baking powder together.  Cream shortening with sugar until fluffy.  Add eggs, vanilla and sifted ingredients and mix well.  Spread batter very thin on baking sheets.  Fold brown sugar into egg whites, add nuts.  Spread over cookie batter.  Bake at 325 degrees for 30 minutes.  Cut into squares.  Makes 30.",1 1/2,"sifted flour,salt,baking soda,shortening,granulated sugar,eggs,vanilla,brown sugar,egg white, stiffly beaten,chopped nuts",cups,02-Jan,tsp,1,tsp,02-Jan,cups,1,cup,2,,02-Jan,tsp,1,cup,1,,1,cup,,,,,,,,,,,,,,,,,,,,Cookies
Ginger Snap Bars,"Mix first four ingredients.  Add dry ingredients with milk.  Mix well.  Add nuts.  Pour into greased 9"" square pan.  Bake at 350 degrees for 35 to 40 minutes.  Cool in pan.  Cut into 24 bars, roll in powdered sugar.",1,"brown sugar,egg,margarine,molasses,vanilla,flour,soda,salt,cinnamon,ginger,cloves,milk,chopped nuts",cup,1,,2,tbsp,04-Jan,cup,1,tsp,1,cup,02-Jan,tsp,02-Jan,tsp,02-Jan,tsp,02-Jan,tsp,04-Jan,tsp,02-Jan,cup,1,cup,,,,,,,,,,,,,,Cookies
 Ginger Snaps,Roll in little balls.  Dip in sugar and flatten with glass dipped in water.  Bake at 350 degrees about 7 minutes.,04-Mar,"shortening,brown sugar,egg,molasses,ginger,cinnamon,cloves,soda,flour",cup,1,cup,1,,04-Jan,cup,1,tsp,1,tsp,02-Jan,tsp,2,tsp,2,cups,,,,,,,,,,,,,,,,,,,,,,Cookies
Honey Graham Crackers,"Stir all ingredients about 3 minutes to mix well.  Divide in half.  Place each half on 17""x14"" baking sheet.  Flatten and roll to 12"" x 10"" rectangle, dusting with flour to prevent sticking.  Cut into 2"" squares.  Prick with fork.Bake at 425 degrees for 8-10 minutes until lightly browned.  Cut apart while hot.  Cool on baking sheet.  Makes 60.  50 calories each.",2,"flour,whole wheat flour,brown sugar,shortening,cinnamon,honey,oil,cold water,baking soda",cups,,,,,,,,,,,02-Jan,cup,03-Jan,cup,02-Jan,cup,02-Jan,tsp,04-Jan,cup,04-Jan,cup,3,tbsp,1,tsp,salt,1,tsp,,,,,,,,,Cookies
Jello Pastel Cookies,"Mix shortening, sugar, gelatin, eggs, and vanilla.  Blend in dry ingredients.  Roll into 3/4"" balls.  Place 3"" apart on a cookie sheet.  Flatten each with the bottom of a glass dipped in sugar.  Bake 6-8 minutes at 375 degrees.  Makes 4 dozen.",04-Mar,"margarine,sugar,fruit jello,vanilla,flour,baking powder,salt",cup,02-Jan,cup,3, oz. pkg.,2,eggs,1,tsp.,2 1/2,cups,1,tsp.,1,tsp.,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Lemon Squares,"Mix first 3 ingredients well.  Press into 8""x8""x2"" pan.  Build up 1/2"" edge.  Bake 20 minutes at 350 degrees.  Beat remaining 6 ingredients until light and fluffy.  Pour over hot crust.  Bake another 25 minutes.  Cool.  Dust with the powdered sugar.  Cut into squares.",1,"flour,margarine,powdered sugar,sugar,baking powder,salt,lemon peel,Lemon juice",cup,02-Jan,cup,04-Jan,cup,2,eggs,1,cup,02-Jan,tsp,04-Jan,tsp,2,Tbsp,2,Tbsp,,,,,,,,,,,,,,,,,,,,,,Cookies
Minties,"Beat eggs until thick and foamy.  Gradually add sugar and continue to beat.  Soften mint jelly with a fork and add oil.  Mix well.  Add the flour, baking powder, and salt.  Spread mixture in a 9""x13"" pan that is oiled.  Bake at 350 degrees for 25 minutes.  Frost with mint frosting:  Cream 1/4 cup margarine.  Add 1/2 cup mint jelly.  Blend.  Add 2 cups sifted powdered sugar.  Mix Well.  Cut into 32 bars.",1,"egg,oil,sugar,mint apple jelly,flour,baking powder,salt",,03-Feb,cup,02-Jan,cup,04-Mar,cup,1 1/2,cups,1 1/2,tsp,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Oatmeal Cookies,Mix ingredients in the order given.  Drop by teaspoonful onto a cookie sheet.  Bake 8-10 minutes at 350 degrees.,1 1/4,"brown sugar,shortening,eggs,raisin liquid,soda, dissolved in raisin liquid,flour,oats,salt,raisins, boiled 20 min.,cinnamon,all-spice,walnuts",cups,1,scant cup,2,,5,tsp,1,tsp,2 1/2,cups,2,cups,1,pinch,1,cup,1,tsp,1,tsp,1,cup,,,,,,,,,,,,,,,,Cookies
Oatmeal Fudge Bars*,"Oatmeal Layer:  Grease 9""x9"" baking pan.  Beat shortening with sugar until fluffy.  Beat in egg and vanilla.  Sift flour with soda and salt into sugar mixture.  Mix well.  Stir in oats and nuts.  Remove 1 cup for topping.  Press the rest of the mixture evenly into the bottom of the pan.

Fudge Layer:  Preheat oven to 350 degrees. In small sauce pan combine chocolate chips butter, milk, and salt.  Cook over low heat, stirring until chocolate and butter are melted.  Remove from the heat.  Stir in nuts and vanilla.  Spread chocolate mixture over oatmeal layer.  Sprinkle top with reserved oatmeal mixture.  Bake 25 minutes or until topping is lightly browned.",02-Jan,"shortening,light brown sugar, firmly packed,egg,vanilla,sifted flour,baking soda,salt,quick-cooking oats,walnuts, chopped,semi-sweet chocolate chips,butter or margarine,sweetened condensed milk,walnuts, chopped,vanilla",cup,1,cup,1,,02-Jan,tsp,04-Mar,cup,02-Jan,tsp,02-Jan,tsp,2,cups,02-Jan,cup ,1,tsp,1,6 oz. pkg.,1,Tbps.,03-Jan,cup,04-Jan,tsp,salt,02-Jan,cup,1,tsp,,,,,,,Cookies
Peanut Butter Cookies,Form into balls.  Flatten with fork dipped in flour or sugar. Bake for 8 minutes at 375 degrees.,1 1/4,"sugar,brown sugar,margarine,eggs,peanut butter,flour,soda,salt,vanilla",cups,1,cup,1,cup,2,,1,cup,3,cups,1,tsp,02-Jan,tsp,1,tsp,,,,,,,,,,,,,,,,,,,,,,Cookies
